,unique_values,counts
0,1940,19246
1,1942,18683
2,1945,18634
3,1943,18536
4,1947,18132
5,1946,18122
6,1938,18100
7,1944,18092
8,1936,18070
9,1939,18065
10,1941,18060
11,1937,17806
12,1948,17483
13,1949,17481
14,1935,17392
15,1950,17352
16,1951,16593
17,1934,16251
18,1952,16167
19,1953,16086
20,1955,16001
21,1954,15902
22,1933,15426
23,1956,14815
24,1957,14530
25,1930,14262
26,1932,14147
27,1931,13554
28,1959,13551
29,1958,13501
30,1960,13210
31,1961,12257
32,1962,11601
33,1929,11324
34,1963,10968
35,1964,10520
36,1928,9956
37,1965,9801
38,1966,9261
39,1927,8820
40,1967,8539
41,1926,8337
42,1968,8137
43,1925,7631
44,1969,7515
45,1970,6910
46,1971,6823
47,1972,6519
48,1924,6149
49,1973,5938
50,1974,5619
51,1923,5617
52,1975,5021
53,1976,4676
54,1922,4230
55,1977,4175
56,1978,3729
57,1921,3453
58,1979,3397
59,1980,3281
60,1920,3018
61,1981,2909
62,1982,2790
63,1983,2637
64,1984,2320
65,1985,2305
66,1986,2121
67,1987,1946
68,1990,1901
69,1988,1872
70,1991,1835
71,1992,1821
72,1989,1807
73,1919,1800
74,1993,1701
75,1994,1675
76,1995,1654
77,1996,1606
78,1997,1491
79,1918,1456
80,1998,1366
81,2000,1318
82,1999,1291
83,2001,1230
84,2002,1190
85,2007,1110
86,2003,1063
87,2005,1062
88,2008,1053
89,2004,1032
90,1917,1026
91,2009,1010
92,2006,1001
93,2010,963
94,9999,915
95,2011,875
96,1916,768
97,1915,721
98,2012,719
99,2013,629
100,2014,536
101,1914,513
102,2015,386
103,1913,329
104,2016,314
105,1912,262
106,1911,202
107,2017,201
108,1910,167
109,2018,102
110,1909,76
111,2019,50
112,1908,46
113,1907,39
114,1904,20
115,1906,18
116,1905,10
117,1901,8
118,1903,7
119,1902,5
120,1900,2
121,1898,1
122,1897,1
