,unique_values,counts
0,1940,15867
1,1942,15540
2,1945,15468
3,1943,15296
4,1947,15201
5,1946,15041
6,1944,15016
7,1941,14780
8,1949,14778
9,1950,14696
10,1938,14669
11,1939,14634
12,1948,14606
13,1936,14543
14,1937,14255
15,1951,13961
16,1935,13915
17,1952,13715
18,1953,13703
19,1955,13583
20,1954,13521
21,1934,12861
22,1956,12477
23,1957,12322
24,1933,12069
25,1959,11584
26,1958,11403
27,1960,11345
28,1930,11074
29,1932,10931
30,1961,10391
31,1931,10218
32,1962,9970
33,1963,9363
34,1964,9023
35,1929,8643
36,1965,8426
37,1966,7997
38,1928,7381
39,1967,7363
40,1968,6994
41,1927,6521
42,1969,6502
43,1926,5990
44,1970,5966
45,1971,5875
46,1972,5633
47,1925,5385
48,1973,5138
49,1974,4891
50,1975,4358
51,1924,4238
52,1976,4087
53,1923,3806
54,1977,3632
55,1978,3176
56,1979,2950
57,1980,2847
58,1922,2790
59,1981,2517
60,1982,2416
61,1983,2236
62,1921,2132
63,1984,1979
64,1985,1970
65,1920,1955
66,1986,1796
67,1987,1649
68,1990,1582
69,1988,1578
70,1991,1531
71,1992,1508
72,1989,1497
73,1993,1363
74,1994,1353
75,1995,1343
76,1996,1332
77,1997,1274
78,1998,1170
79,1919,1124
80,1999,1115
81,2000,1112
82,2001,1044
83,2002,972
84,2003,860
85,1918,856
86,2007,844
87,2005,831
88,2011,830
89,2008,825
90,2004,825
91,2006,796
92,2010,783
93,9999,781
94,2009,775
95,2012,719
96,2013,629
97,1917,608
98,2014,536
99,1916,418
100,1915,409
101,2015,386
102,2016,314
103,1914,265
104,2017,201
105,1913,144
106,1912,121
107,2018,102
108,1911,94
109,1910,92
110,2019,50
111,1909,41
112,1908,17
113,1907,16
114,1904,11
115,1906,10
116,1901,5
117,1905,4
118,1903,4
119,1902,4
120,1900,2
121,1898,1
122,1897,1
