,unique_values,counts
0,72,19299
1,76,19121
2,74,19056
3,73,18935
4,70,18873
5,75,18810
6,77,18665
7,71,18625
8,69,18544
9,68,18216
10,78,18095
11,67,17971
12,66,17805
13,79,17756
14,65,17532
15,64,17349
16,80,17256
17,63,16748
18,62,16410
19,81,16260
20,61,15895
21,82,15603
22,60,15307
23,59,14900
24,58,14476
25,83,14448
26,57,13917
27,84,13544
28,56,13528
29,55,12908
30,85,12597
31,54,12524
32,53,11670
33,86,11488
34,52,11138
35,51,10479
36,87,10279
37,50,9938
38,49,9559
39,88,9063
40,48,8696
41,47,8370
42,89,8035
43,46,7755
44,45,7229
45,44,6712
46,90,6483
47,43,6346
48,42,5887
49,91,5414
50,41,5331
51,40,4991
52,39,4610
53,92,4351
54,38,4286
55,37,3833
56,36,3603
57,93,3550
58,35,3237
59,34,3109
60,33,2848
61,94,2828
62,32,2526
63,31,2397
64,30,2215
65,95,2085
66,28,2055
67,29,2051
68,27,1913
69,26,1798
70,25,1779
71,22,1696
72,23,1679
73,21,1672
74,24,1668
75,18,1637
76,19,1610
77,20,1600
78,96,1557
79,17,1541
80,16,1471
81,15,1360
82,14,1197
83,97,1177
84,5,1105
85,3,1086
86,13,1076
87,4,1043
88,12,1040
89,6,1026
90,2,997
91,11,984
92,7,984
93,8,965
94,9,960
95,1,895
96,10,883
97,98,869
98,99,579
99,0,381
100,100,379
101,101,258
102,102,207
103,103,120
104,104,83
105,105,46
106,106,43
107,108,14
108,107,12
109,113,8
110,109,8
111,110,6
112,112,4
113,111,3
114,116,1
